GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JAVA_TaiNK_day1_simple,day7.Ex1,Counter,40,0,2,0,14,0,3,0,2,0
JAVA_TaiNK_day1_simple,day7.Ex1,Printer,52,0,2,0,17,0,3,0,2,0
JAVA_TaiNK_day1_simple,day7.Ex1,Main,23,0,0,0,7,0,3,0,3,0
JAVA_TaiNK_day1_simple,day7.Ex1,Storage,20,0,0,0,5,0,4,0,4,0
JAVA_TaiNK_day1_simple,day5.Ex2,Ex2,150,0,8,0,28,0,11,0,7,0
JAVA_TaiNK_day1_simple,day5.ex3,Ex3,122,0,4,0,12,0,5,0,3,0
JAVA_TaiNK_day1_simple,day5.ex4,Ex4,43,0,2,0,15,0,4,0,3,0
JAVA_TaiNK_day1_simple,day5.ex1,Ex1,156,0,14,0,23,0,12,0,5,0
JAVA_TaiNK_day1_simple,day8,ABC,7,0,0,0,2,0,2,0,2,0
JAVA_TaiNK_day1_simple,day8,Person,9,12,2,0,3,6,2,2,1,2
JAVA_TaiNK_day1_simple,day8,YYY,12,0,0,0,4,0,2,0,2,0
JAVA_TaiNK_day1_simple,day8,Temp,11,0,0,0,5,0,2,0,2,0
JAVA_TaiNK_day1_simple,day8,Person1,23,0,0,0,10,0,5,0,5,0
JAVA_TaiNK_day1_simple,day8,A,6,0,0,0,3,0,1,0,1,0
JAVA_TaiNK_day1_simple,day8,XXX,3,0,0,0,1,0,1,0,1,0
JAVA_TaiNK_day1_simple,day8,Adress,3,6,0,0,2,3,1,1,1,1
JAVA_TaiNK_day1_simple,day8,Main,0,38,0,0,0,8,0,7,0,7
JAVA_TaiNK_day1_simple,day8,Province,7,6,0,0,3,3,2,1,2,1
JAVA_TaiNK_day1_simple,day8,Xyz,8,0,0,0,4,0,2,0,2,0
JAVA_TaiNK_day1_simple,day8,YXX,11,0,0,0,6,0,4,0,4,0
JAVA_TaiNK_day1_simple,day9,Test,28,0,0,0,6,0,2,0,2,0
JAVA_TaiNK_day1_simple,day9,Printer,24,0,0,0,7,0,3,0,3,0
JAVA_TaiNK_day1_simple,day9,Counter,29,0,2,0,9,0,3,0,2,0
JAVA_TaiNK_day1_simple,day9,Storage,43,0,2,0,18,0,6,0,5,0
JAVA_TaiNK_day1_simple,day10,Main,57,0,0,0,5,0,3,0,3,0
JAVA_TaiNK_day1_simple,day4,Controller,153,0,18,0,35,0,19,0,10,0
JAVA_TaiNK_day1_simple,day4,Main,36,0,4,0,13,0,5,0,2,0
JAVA_TaiNK_day1_simple,day2,Valid,91,0,8,0,30,0,8,0,4,0
JAVA_TaiNK_day1_simple,day2,Person,62,0,4,0,11,0,4,0,2,0
JAVA_TaiNK_day1_simple,day2,Time,56,0,2,0,17,0,7,0,6,0
JAVA_TaiNK_day1_simple,day2,BankAccount,62,0,0,0,12,0,3,0,3,0
JAVA_TaiNK_day1_simple,day2,Controller.new Comparator() {...},10,0,0,0,2,0,2,0,2,0
JAVA_TaiNK_day1_simple,day2,Main,60,0,16,0,29,0,15,0,2,0
JAVA_TaiNK_day1_simple,day2,Controller,838,0,49,0,173,0,44,0,19,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake2,Main,55,0,2,0,11,0,3,0,2,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake2,Mythread,72,0,4,0,17,0,5,0,3,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake2,CountDivisor,68,0,6,0,23,0,10,0,7,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake2,Task,40,0,0,0,11,0,6,0,6,0
JAVA_TaiNK_day1_simple,day3,Conversion,61,0,0,0,15,0,5,0,5,0
JAVA_TaiNK_day1_simple,day3,UnitConvesion,3,0,0,0,1,0,1,0,1,0
JAVA_TaiNK_day1_simple,day3,Circle,16,0,0,0,8,0,3,0,3,0
JAVA_TaiNK_day1_simple,day3,SavingAccount,85,0,2,0,20,0,6,0,5,0
JAVA_TaiNK_day1_simple,day3,Rectagle,47,0,0,0,10,0,3,0,3,0
JAVA_TaiNK_day1_simple,day3,LabelPoint,20,0,0,0,5,0,2,0,2,0
JAVA_TaiNK_day1_simple,day3,BankAccount,69,0,0,0,15,0,5,0,5,0
JAVA_TaiNK_day1_simple,day3,Point,9,0,0,0,4,0,1,0,1,0
JAVA_TaiNK_day1_simple,day3,CheckingAccount,32,0,0,0,11,0,4,0,4,0
JAVA_TaiNK_day1_simple,day3,Valid,91,0,8,0,30,0,8,0,4,0
JAVA_TaiNK_day1_simple,day3,Controller,217,0,19,0,73,0,23,0,10,0
JAVA_TaiNK_day1_simple,day3,Shape,3,0,0,0,1,0,1,0,1,0
JAVA_TaiNK_day1_simple,day3,Main,49,0,11,0,21,0,10,0,2,0
JAVA_TaiNK_day1_simple,day1,Controller,332,0,18,0,63,0,19,0,10,0
JAVA_TaiNK_day1_simple,day1,Main,62,0,11,0,23,0,10,0,2,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake,Main,108,0,6,0,26,0,6,0,3,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake,CountDivisor,33,0,4,0,12,0,8,0,6,0
JAVA_TaiNK_day1_simple,day7.Ex3_remake,Doing,44,0,4,0,12,0,4,0,2,0
